table_name,table_description,column_name,ordinal_position,data_type,character_maximum_length,is_nullable,column_default,column_description,sensitivity,is_primary_key,foreign_key_references
active_agency,"One row per prison that has ever been switched on for CSRA in DPS. The switched-on ids are published unauthenticated on the actuator /info payload, which is how the DPS home page decides whether to show the CSRA tile. Switching a prison off flips the flag rather than deleting the row, so deactivation stays auditable and the toggle is idempotent. Note the API itself enforces no rollout check - this drives the front end only.",id,1,uuid,,NO,,Primary key. Time-ordered UUID v7.,NONE,Y,
active_agency,"One row per prison that has ever been switched on for CSRA in DPS. The switched-on ids are published unauthenticated on the actuator /info payload, which is how the DPS home page decides whether to show the CSRA tile. Switching a prison off flips the flag rather than deleting the row, so deactivation stays auditable and the toggle is idempotent. Note the API itself enforces no rollout check - this drives the front end only.",agency_id,2,character varying,6,NO,,Agency (prison) code. Unique - one row per prison.,NONE,N,
active_agency,"One row per prison that has ever been switched on for CSRA in DPS. The switched-on ids are published unauthenticated on the actuator /info payload, which is how the DPS home page decides whether to show the CSRA tile. Switching a prison off flips the flag rather than deleting the row, so deactivation stays auditable and the toggle is idempotent. Note the API itself enforces no rollout check - this drives the front end only.",active,3,boolean,,NO,true,Whether CSRA is currently switched on for the prison. False means it was switched on at some point and has since been switched off.,NONE,N,
active_agency,"One row per prison that has ever been switched on for CSRA in DPS. The switched-on ids are published unauthenticated on the actuator /info payload, which is how the DPS home page decides whether to show the CSRA tile. Switching a prison off flips the flag rather than deleting the row, so deactivation stays auditable and the toggle is idempotent. Note the API itself enforces no rollout check - this drives the front end only.",updated_at,4,timestamp without time zone,,NO,,When the prison was last switched on or off.,NONE,N,
active_agency,"One row per prison that has ever been switched on for CSRA in DPS. The switched-on ids are published unauthenticated on the actuator /info payload, which is how the DPS home page decides whether to show the CSRA tile. Switching a prison off flips the flag rather than deleting the row, so deactivation stays auditable and the toggle is idempotent. Note the API itself enforces no rollout check - this drives the front end only.",updated_by,5,character varying,40,YES,,Username of the member of staff who last changed the switch. Identifies a member of staff.,STAFF,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",id,1,uuid,,NO,,Primary key. Time-ordered UUID v7.,NONE,Y,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",csra_review_id,2,uuid,,NO,,Foreign key to csra_review - the assessment or review this stage belongs to. Unique per stage.,NONE,N,csra_review
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",stage,3,character varying,20,NO,,"Which stage this is. PROVISIONAL (initial assessment, Day 1), INTERIM (review, first sitting) or FINAL (completes either journey). A review carries PROVISIONAL or INTERIM, never both.",NONE,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",completed_by,4,character varying,40,YES,,Username of the assessor who submitted this stage. Identifies a member of staff.,STAFF,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",completed_at,5,timestamp without time zone,,YES,,When this stage was submitted. Null while it is still a draft.,NONE,N,
